sample_id,spp,mountain,site,treatment,experiment,source,none_live,em_tip_live,none_dead,em_tip_dead,em_colonization,vitality_index
MAN_FAGR_FCM2,FAGR,MAN,M,FCM2,trans,M,116,138,3,7,54.92,96.21
MAN_FAGR_LM2,FAGR,MAN,M,LM2,trans,L,70,69,1,2,50,97.89
MAN_FAGR_FCM3,FAGR,MAN,M,FCM3,trans,M,64,44,4,1,39.82,95.58
MAN_FAGR_HM1,FAGR,MAN,M,HM1,trans,H,154,100,7,10,40.59,93.73
MAN_FAGR_SCM3,FAGR,MAN,M,SCM3,trans,M,105,88,1,2,45.92,98.47
MAN_FAGR_SCM1,FAGR,MAN,M,SCM1,trans,M,124,148,5,5,54.26,96.45
MAN_FAGR_LM1,FAGR,MAN,M,LM1,trans,L,170,166,7,11,50,94.92
MAN_FAGR_HL3,FAGR,MAN,L,HL3,trans,H,60,65,2,4,52.67,95.42
MAN_FAGR_SCL3,FAGR,MAN,L,SCL3,trans,L,90,111,2,1,54.9,98.53
MAN_FAGR_SCL2,FAGR,MAN,L,SCL2,trans,L,32,39,0,0,54.93,100
MAN_FAGR_ML2,FAGR,MAN,L,ML2,trans,M,59,49,0,0,45.37,100
MAN_FAGR_ML1,FAGR,MAN,L,ML1,trans,M,103,113,5,7,52.63,94.74
MAN_FAGR_FCL3,FAGR,MAN,L,FCL3,trans,L,58,47,1,1,44.86,98.13
MAN_FAGR_SCL1,FAGR,MAN,L,SCL1,trans,L,77,92,2,3,54.6,97.13
JAY_FAGR_FCH3,FAGR,JAY,H,FCH3,trans,H,50,63,1,1,55.65,98.26
JAY_FAGR_SCL1,FAGR,JAY,L,SCL1,trans,L,77,120,3,2,60.4,97.52
JAY_FAGR_SCM2,FAGR,JAY,M,SCM2,trans,M,49,50,1,0,50,99
JAY_FAGR_HL3,FAGR,JAY,L,HL3,trans,H,37,46,1,1,55.29,97.65
JAY_FAGR_FCL3,FAGR,JAY,L,FCL3,trans,L,49,58,2,1,53.64,97.27
JAY_FAGR_ML1,FAGR,JAY,L,ML1,trans,M,81,92,1,3,53.67,97.74
ABE_FAGR_HM2,FAGR,ABE,M,HM2,trans,H,44,38,3,2,45.98,94.25
JAY_FAGR_HM3,FAGR,JAY,M,HM3,trans,H,79,133,2,2,62.5,98.15
JAY_FAGR_FCM3,FAGR,JAY,M,FCM3,trans,M,162,151,1,1,48.25,99.37
JAY_FAGR_LM2,FAGR,JAY,M,LM2,trans,L,103,115,4,5,52.86,96.04
ABE_FAGR_SCM2,FAGR,ABE,M,SCM2,trans,M,129,138,3,4,51.82,97.45
ABE_FAGR_LM1,FAGR,ABE,M,LM1,trans,L,97,117,6,10,55.22,93.04
ABE_FAGR_LM3,FAGR,ABE,M,LM3,trans,L,53,79,2,2,59.56,97.06
ABE_FAGR_FCM2,FAGR,ABE,M,FCM2,trans,M,63,86,5,9,58.28,91.41
ABE_FAGR_LH3,FAGR,ABE,H,LH3,trans,L,106,139,3,5,56.92,96.84
ABE_FAGR_SCL2,FAGR,ABE,L,SCL2,trans,L,120,104,5,8,47.26,94.51
ABE_FAGR_ML1,FAGR,ABE,L,ML1,trans,M,116,144,4,6,55.56,96.3
ABE_FAGR_FCL3,FAGR,ABE,L,FCL3,trans,L,112,104,5,7,48.68,94.74
ABE_FAGR_SCL3,FAGR,ABE,L,SCL3,trans,L,76,50,2,4,40.91,95.45
ABE_FAGR_HL3,FAGR,ABE,L,HL3,trans,H,109,109,2,5,50.67,96.89
ABE_FAGR_SCL1,FAGR,ABE,L,SCL1,trans,L,141,127,4,5,47.65,96.75
ABE_FAGR_LM2,FAGR,ABE,M,LM2,trans,L,157,144,6,5,47.76,96.47
KIL_FAGR_SCH2,FAGR,KIL,H,SCH2,trans,H,171,194,12,14,53.2,93.35
KIL_FAGR_MH3,FAGR,KIL,H,MH3,trans,M,87,94,2,2,51.89,97.84
KIL_FAGR_SCH3,FAGR,KIL,H,SCH3,trans,H,141,120,7,6,45.99,95.26
KIL_FAGR_FCH1,FAGR,KIL,H,FCH1,trans,H,126,167,4,5,56.95,97.02
KIL_FAGR_LH3,FAGR,KIL,H,LH3,trans,L,111,139,10,5,54.34,94.34
KIL_FAGR_FCL3,FAGR,KIL,L,FCL3,trans,L,116,126,4,5,52.19,96.41
KIL_FAGR_SCL3,FAGR,KIL,L,SCL3,trans,L,118,119,4,6,50.61,95.95
KIL_FAGR_SCL2,FAGR,KIL,L,SCL2,trans,L,71,66,5,7,48.99,91.95
KIL_FAGR_HL2,FAGR,KIL,L,HL2,trans,H,72,50,2,3,41.73,96.06
KIL_FAGR_ML2,FAGR,KIL,L,ML2,trans,M,84,99,4,6,54.4,94.82
KIL_FAGR_FCL1,FAGR,KIL,L,FCL1,trans,L,118,123,2,4,51.42,97.57
KIL_FAGR_HL3,FAGR,KIL,L,HL3,trans,H,36,31,5,3,45.33,89.33
KIL_FAGR_FCL2,FAGR,KIL,L,FCL2,trans,L,64,71,3,5,53.15,94.41
KIL_FAGR_ML1,FAGR,KIL,L,ML1,trans,M,91,90,6,7,50,93.3
KIL_FAGR_SCL1,FAGR,KIL,L,SCL1,trans,L,105,98,8,10,48.87,91.86
KIL_FAGR_LM2,FAGR,KIL,M,LM2,trans,L,45,33,0,0,42.31,100
KIL_FAGR_HL1,FAGR,KIL,L,HL1,trans,H,107,104,4,3,49.08,96.79
KIL_FAGR_HM2,FAGR,KIL,M,HM2,trans,H,56,41,1,1,42.42,97.98
KIL_FAGR_HM1,FAGR,KIL,M,HM1,trans,H,55,62,1,2,53.33,97.5
KIL_FAGR_LM1,FAGR,KIL,M,LM1,trans,L,38,58,2,5,61.17,93.2
KIL_FAGR_SCM2,FAGR,KIL,M,SCM2,trans,M,82,75,4,2,47.24,96.32
