sample_id,spp,mountain,site,treatment,block,experiment,treat,none,non_prop,arbuscules,arb_prop,vesicles,ves_prop,coils,coil_prop,hyphae,hyphae_prop,endo,endo_prop,total
MAN_ACSA_HM1,ACSA,MAN,M,HM1,1,trans,H,84,0.7304,5,0.0435,4,0.0348,2,0.0174,19,0.1652,1,0.0087,115
MAN_ACSA_LM2,ACSA,MAN,M,LM2,2,trans,L,72,0.4768,8,0.053,8,0.053,1,0.0066,50,0.3311,12,0.0795,151
MAN_ACSA_LM3,ACSA,MAN,M,LM3,3,trans,L,99,0.3867,23,0.0898,20,0.0781,7,0.0273,102,0.3984,5,0.0195,256
MAN_ACSA_HM3,ACSA,MAN,M,HM3,3,trans,H,101,0.7214,3,0.0214,5,0.0357,1,0.0071,22,0.1571,8,0.0571,140
MAN_ACSA_HL1,ACSA,MAN,L,HL1,1,trans,H,69,0.5948,3,0.0259,5,0.0431,2,0.0172,29,0.25,8,0.069,116
JAY_ACSA_LM2,ACSA,JAY,M,LM2,2,trans,L,121,0.4618,12,0.0458,16,0.0611,3,0.0115,100,0.3817,10,0.0382,262
JAY_ACSA_FCM1,ACSA,JAY,M,FCM1,1,trans,M,38,0.5429,4,0.0571,3,0.0429,2,0.0286,21,0.3,2,0.0286,70
JAY_ACSA_FCH2,ACSA,JAY,H,FCH2,2,trans,H,68,0.6071,2,0.0179,5,0.0446,0,0,16,0.1429,21,0.1875,112
ABE_ACSA_SCM1,ACSA,ABE,M,SCM1,1,trans,M,63,0.4145,15,0.0987,15,0.0987,4,0.0263,49,0.3224,6,0.0395,152
ABE_ACSA_FCH3,ACSA,ABE,H,FCH3,3,trans,H,195,0.8553,2,0.0088,0,0,0,0,14,0.0614,17,0.0746,228
ABE_ACSA_FCM2,ACSA,ABE,M,FCM2,2,trans,M,112,0.4706,17,0.0714,16,0.0672,7,0.0294,70,0.2941,16,0.0672,238
ABE_ACSA_HM3,ACSA,ABE,M,HM3,3,trans,H,100,0.4274,22,0.094,22,0.094,6,0.0256,79,0.3376,5,0.0214,234
ABE_ACSA_SCH3,ACSA,ABE,H,SCH3,3,trans,H,157,0.7336,7,0.0327,6,0.028,2,0.0093,28,0.1308,14,0.0654,214
ABE_ACSA_SCH2,ACSA,ABE,H,SCH3,3,trans,H,133,0.6584,4,0.0198,6,0.0297,0,0,42,0.2079,17,0.0842,202
ABE_ACSA_FCM3,ACSA,ABE,M,FCM3,3,trans,M,141,0.5054,20,0.0717,21,0.0753,4,0.0143,71,0.2545,13,0.0466,279
ABE_ACSA_LH2,ACSA,ABE,H,LH2,2,trans,L,105,0.3633,28,0.0969,26,0.09,10,0.0346,101,0.3495,19,0.0657,289
ABE_ACSA_LM1,ACSA,ABE,M,LM1,1,trans,L,114,0.4254,19,0.0709,22,0.0821,5,0.0187,95,0.3545,13,0.0485,268
ABE_ACSA_LH3,ACSA,ABE,H,LH3,3,trans,L,116,0.3854,26,0.0864,29,0.0963,10,0.0332,108,0.3588,12,0.0399,301
ABE_ACSA_LM3,ACSA,ABE,M,LM3,3,trans,L,87,0.4531,14,0.0729,20,0.1042,2,0.0104,56,0.2917,13,0.0677,192
ABE_ACSA_ML2,ACSA,ABE,L,ML2,2,trans,M,51,0.4951,8,0.0777,8,0.0777,3,0.0291,32,0.3107,1,0.0097,103
ABE_ACSA_SCL2,ACSA,ABE,L,SCL2,2,trans,L,96,0.3951,27,0.1111,35,0.144,8,0.0329,73,0.3004,6,0.0247,243
ABE_ACSA_HL1,ACSA,ABE,L,HL1,1,trans,H,124,0.6425,10,0.0518,10,0.0518,3,0.0155,44,0.228,2,0.0104,193
KIL_ACSA_HM1,ACSA,KIL,M,HM1,1,trans,H,165,0.7466,10,0.0452,7,0.0317,3,0.0136,32,0.1448,4,0.0181,221
KIL_ACSA_LM3,ACSA,KIL,M,LM3,3,trans,L,127,0.5773,21,0.0955,18,0.0818,2,0.0091,50,0.2273,3,0.0136,220
KIL_ACSA_FCL3,ACSA,KIL,L,FCL3,3,trans,L,139,0.4826,27,0.0938,29,0.1007,4,0.0139,80,0.2778,9,0.0313,288
